product_id,product_name,description,price,stock_quantity,category_id
1,Laptop,"15-inch, Core i7, 16GB RAM",99999.99,50,1
2,Laptop,"13.5-inch, Core i5, 16GB RAM",69990.99,1,1
3,T-shirt,"Cotton T-shirt, size M, red color",399.99,10,2
4,"Python Programming","Learn Python programming from scratch",299.90,20,3
5,"The Lord of the Rings","An epic high fantasy novel",400.00,25,3
6,Sofa,"3-seater fabric sofa",1499.99,30,4
7,"LEGO Set","Star Wars LEGO set",799.89,20,5
8,Basketball,"Official size basketball",500.00,20,6
9,Shampoo,"Moisturizing shampoo",199.99,10,7
10,"Chocolate Bar","Milk chocolate bar",29.99,20,8
11,Watch,"Analog wristwatch",1525.99,5,9
12,"Throw Pillow","Decorative throw pillow",299.99,50,10
13,Laptop,"13-inch, Core i5, 16GB RAM",79999.99,40,1
14,Shirts,"Cotton Shirt, size L, blue color",799.99,10,2
15,"JAVA Basics","Learn JAVA programming from scratch",499.09,25,3
16,Sofa,"3-seater fabric sofa",12499.99,50,4
17,"Kitchen Set","Barbie Kitchen set",1909.99,3,5
18,"Chess Board","Education Chess Board set",599.90,40,5
19,"Tic Tac Toe","Tic Tac Toe Classic Mind Challenging",199.90,50,5
20,Basketball,"Official size basketball",1299.99,2,6
21,Shampoo,"Moisturizing shampoo",9.99,100,7
22,"Chocolate Bar","Dark chocolate bar",159.00,20,8
23,Bounty,"Coconut & Chocolate fused bar",59.00,3,8
24,Kit-Kat,"Wafer Chocolate bar",50.00,13,8
25,Watch,"Analog wristwatch",49.99,50,9
26,Watch,Smart-watch,39899.99,5,9
27,"Cotton Cartoon Pillow","Cartoon soft pillow for kids",499.99,12,10
